#Tenant,ID,FilterIDs,ActivationInterval,Weight,MinCost,MaxCost,MaxCostStrategy,RateID,RateFilterIDs,RateActivationStart,RateWeight,RateBlocker,RateIntervalStart,RateFixedFee,RateRecurrentFee,RateUnit,RateIncrement
cgrates.org,RP1,,,,,,,RT_100,*string:~*req.PrefixDestination:100,,,,0s,0.82,0.9603,60s,60s
cgrates.org,RP1,,,,,,,RT_100,,,,,60s,0,0.4801,60s,1s
cgrates.org,RP1,,,,,,,RT_101,*string:~*req.PrefixDestination:101,,,,0s,0.37,0.3478,60s,60s
cgrates.org,RP1,,,,,,,RT_101,,,,,60s,0,0.1739,60s,1s
cgrates.org,RP1,,,,,,,RT_102,*string:~*req.PrefixDestination:102,,,,0s,0.94,0.7972,60s,60s
cgrates.org,RP1,,,,,,,RT_102,,,,,60s,0,0.3986,60s,1s
cgrates.org,RP1,,,,,,,RT_103,*string:~*req.PrefixDestination:103,,,,0s,0.46,0.2151,60s,60s
cgrates.org,RP1,,,,,,,RT_103,,,,,60s,0,0.1076,60s,1s
cgrates.org,RP1,,,,,,,RT_104,*string:~*req.PrefixDestination:104,,,,0s,0.01,0.5396,60s,60s
cgrates.org,RP1,,,,,,,RT_104,,,,,60s,0,0.2698,60s,1s
cgrates.org,RP1,,,,,,,RT_105,*string:~*req.PrefixDestination:105,,,,0s,0.57,0.9269,60s,60s
cgrates.org,RP1,,,,,,,RT_106,*string:~*req.PrefixDestination:106,,,,0s,0.13,0.3689,1s,1s
cgrates.org,RP1,,,,,,,RT_107,*string:~*req.PrefixDestination:107,,,,0s,0.66,0.7610,60s,60s
cgrates.org,RP1,,,,,,,RT_107,,,,,60s,0,0.3805,60s,1s
cgrates.org,RP1,,,,,,,RT_108,*string:~*req.PrefixDestination:108,,,,0s,0.22,0.1169,60s,60s
cgrates.org,RP1,,,,,,,RT_108,,,,,60s,0,0.0585,60s,1s
cgrates.org,RP1,,,,,,,RT_109,*string:~*req.PrefixDestination:109,,,,0s,0.77,0.5041,60s,60s
cgrates.org,RP1,,,,,,,RT_110,*string:~*req.PrefixDestination:110,,,,0s,0.30,0.9540,60s,60s
cgrates.org,RP1,,,,,,,RT_111,*string:~*req.PrefixDestination:111,,,,0s,0.85,0.3411,1s,1s
cgrates.org,RP1,,,,,,,RT_112,*string:~*req.PrefixDestination:112,,,,0s,0.41,0.6961,60s,60s
cgrates.org,RP1,,,,,,,RT_112,,,,,60s,0,0.3481,60s,1s
cgrates.org,RP1,,,,,,,RT_113,*string:~*req.PrefixDestination:113,,,,0s,0.97,0.0835,60s,60s
cgrates.org,RP1,,,,,,,RT_114,*string:~*req.PrefixDestination:114,,,,0s,0.62,0.5332,1s,1s
cgrates.org,RP1,,,,,,,RT_115,*string:~*req.PrefixDestination:115,,,,0s,0.18,0.8658,60s,60s
cgrates.org,RP1,,,,,,,RT_116,*string:~*req.PrefixDestination:116,,,,0s,0.74,0.2855,60s,60s
cgrates.org,RP1,,,,,,,RT_117,*string:~*req.PrefixDestination:117,,,,0s,0.27,0.7347,1s,1s
cgrates.org,RP1,,,,,,,RT_118,*string:~*req.PrefixDestination:118,,,,0s,0.82,0.1221,1s,1s
cgrates.org,RP1,,,,,,,RT_119,*string:~*req.PrefixDestination:119,,,,0s,0.38,0.4470,60s,60s
cgrates.org,RP1,,,,,,,RT_120,*string:~*req.PrefixDestination:120,,,,0s,0.94,0.8652,60s,60s
cgrates.org,RP1,,,,,,,RT_121,*string:~*req.PrefixDestination:121,,,,0s,0.47,0.3142,1s,1s
cgrates.org,RP1,,,,,,,RT_122,*string:~*req.PrefixDestination:122,,,,0s,0.03,0.7013,1s,1s
cgrates.org,RP1,,,,,,,RT_123,*string:~*req.PrefixDestination:123,,,,0s,0.58,0.0262,60s,60s
cgrates.org,RP1,,,,,,,RT_123,,,,,60s,0,0.0131,60s,1s
cgrates.org,RP1,,,,,,,RT_124,*string:~*req.PrefixDestination:124,,,,0s,0.11,0.4445,60s,60s
cgrates.org,RP1,,,,,,,RT_124,,,,,60s,0,0.2223,60s,1s
cgrates.org,RP1,,,,,,,RT_125,*string:~*req.PrefixDestination:125,,,,0s,0.66,0.8838,60s,60s
cgrates.org,RP1,,,,,,,RT_126,*string:~*req.PrefixDestination:126,,,,0s,0.22,0.2708,1s,1s
cgrates.org,RP1,,,,,,,RT_127,*string:~*req.PrefixDestination:127,,,,0s,0.78,0.5953,1s,1s
cgrates.org,RP1,,,,,,,RT_128,*string:~*req.PrefixDestination:128,,,,0s,0.43,0.0140,1s,1s
cgrates.org,RP1,,,,,,,RT_129,*string:~*req.PrefixDestination:129,,,,0s,0.99,0.4636,60s,60s
cgrates.org,RP1,,,,,,,RT_130,*string:~*req.PrefixDestination:130,,,,0s,0.55,0.8502,1s,1s
cgrates.org,RP1,,,,,,,RT_131,*string:~*req.PrefixDestination:131,,,,0s,0.07,0.1749,60s,60s
cgrates.org,RP1,,,,,,,RT_132,*string:~*req.PrefixDestination:132,,,,0s,0.64,0.5932,60s,60s
cgrates.org,RP1,,,,,,,RT_132,,,,,60s,0,0.2966,60s,1s
cgrates.org,RP1,,,,,,,RT_133,*string:~*req.PrefixDestination:133,,,,0s,0.19,0.0430,60s,60s
cgrates.org,RP1,,,,,,,RT_133,,,,,60s,0,0.0215,60s,1s
cgrates.org,RP1,,,,,,,RT_134,*string:~*req.PrefixDestination:134,,,,0s,0.74,0.4393,60s,60s
cgrates.org,RP1,,,,,,,RT_135,*string:~*req.PrefixDestination:135,,,,0s,0.27,0.7635,60s,60s
cgrates.org,RP1,,,,,,,RT_136,*string:~*req.PrefixDestination:136,,,,0s,0.83,0.1823,1s,1s
cgrates.org,RP1,,,,,,,RT_137,*string:~*req.PrefixDestination:137,,,,0s,0.39,0.6319,1s,1s
cgrates.org,RP1,,,,,,,RT_138,*string:~*req.PrefixDestination:138,,,,0s,0.92,0.0192,60s,60s
cgrates.org,RP1,,,,,,,RT_138,,,,,60s,0,0.0096,60s,1s
cgrates.org,RP1,,,,,,,RT_139,*string:~*req.PrefixDestination:139,,,,0s,0.47,0.3429,60s,60s
cgrates.org,RP1,,,,,,,RT_140,*string:~*req.PrefixDestination:140,,,,0s,0.03,0.7614,60s,60s
cgrates.org,RP1,,,,,,,RT_141,*string:~*req.PrefixDestination:141,,,,0s,0.59,0.2112,60s,60s
cgrates.org,RP1,,,,,,,RT_142,*string:~*req.PrefixDestination:142,,,,0s,0.24,0.5984,1s,1s
cgrates.org,RP1,,,,,,,RT_143,*string:~*req.PrefixDestination:143,,,,0s,0.80,0.9283,60s,60s
cgrates.org,RP1,,,,,,,RT_143,,,,,60s,0,0.4642,60s,1s
cgrates.org,RP1,,,,,,,RT_144,*string:~*req.PrefixDestination:144,,,,0s,0.35,0.3075,60s,60s
cgrates.org,RP1,,,,,,,RT_145,*string:~*req.PrefixDestination:145,,,,0s,0.88,0.7885,60s,60s
cgrates.org,RP1,,,,,,,RT_145,,,,,60s,0,0.3942,60s,1s
cgrates.org,RP1,,,,,,,RT_146,*string:~*req.PrefixDestination:146,,,,0s,0.44,0.1760,60s,60s
cgrates.org,RP1,,,,,,,RT_147,*string:~*req.PrefixDestination:147,,,,0s,0.00,0.5002,60s,60s
cgrates.org,RP1,,,,,,,RT_147,,,,,60s,0,0.2501,60s,1s
cgrates.org,RP1,,,,,,,RT_148,*string:~*req.PrefixDestination:148,,,,0s,0.55,0.8867,60s,60s
cgrates.org,RP1,,,,,,,RT_148,,,,,60s,0,0.4434,60s,1s
cgrates.org,RP1,,,,,,,RT_149,*string:~*req.PrefixDestination:149,,,,0s,0.08,0.3675,60s,60s
cgrates.org,RP1,,,,,,,RT_149,,,,,60s,0,0.1837,60s,1s
cgrates.org,RP1,,,,,,,RT_150,*string:~*req.PrefixDestination:150,,,,0s,0.63,0.7551,60s,60s
cgrates.org,RP1,,,,,,,RT_151,*string:~*req.PrefixDestination:151,,,,0s,0.19,0.0796,1s,1s
cgrates.org,RP1,,,,,,,RT_152,*string:~*req.PrefixDestination:152,,,,0s,0.75,0.4678,1s,1s
cgrates.org,RP1,,,,,,,RT_153,*string:~*req.PrefixDestination:153,,,,0s,0.28,0.9489,60s,60s
cgrates.org,RP1,,,,,,,RT_154,*string:~*req.PrefixDestination:154,,,,0s,0.84,0.2815,60s,60s
cgrates.org,RP1,,,,,,,RT_155,*string:~*req.PrefixDestination:155,,,,0s,0.40,0.6686,1s,1s
cgrates.org,RP1,,,,,,,RT_156,*string:~*req.PrefixDestination:156,,,,0s,0.05,0.1175,1s,1s
cgrates.org,RP1,,,,,,,RT_157,*string:~*req.PrefixDestination:157,,,,0s,0.61,0.5358,1s,1s
cgrates.org,RP1,,,,,,,RT_158,*string:~*req.PrefixDestination:158,,,,0s,0.16,0.8607,60s,60s
cgrates.org,RP1,,,,,,,RT_158,,,,,60s,0,0.4303,60s,1s
cgrates.org,RP1,,,,,,,RT_159,*string:~*req.PrefixDestination:159,,,,0s,0.72,0.2478,60s,60s
cgrates.org,RP1,,,,,,,RT_160,*string:~*req.PrefixDestination:160,,,,0s,0.25,0.6975,60s,60s
cgrates.org,RP1,,,,,,,RT_161,*string:~*req.PrefixDestination:161,,,,0s,0.80,0.1133,60s,60s
cgrates.org,RP1,,,,,,,RT_162,*string:~*req.PrefixDestination:162,,,,0s,0.36,0.4376,60s,60s
cgrates.org,RP1,,,,,,,RT_163,*string:~*req.PrefixDestination:163,,,,0s,0.89,0.8174,60s,60s
cgrates.org,RP1,,,,,,,RT_163,,,,,60s,0,0.4087,60s,1s
cgrates.org,RP1,,,,,,,RT_164,*string:~*req.PrefixDestination:164,,,,0s,0.44,0.2670,60s,60s
cgrates.org,RP1,,,,,,,RT_164,,,,,60s,0,0.1335,60s,1s
cgrates.org,RP1,,,,,,,RT_165,*string:~*req.PrefixDestination:165,,,,0s,0.00,0.6847,1s,1s
cgrates.org,RP1,,,,,,,RT_166,*string:~*req.PrefixDestination:166,,,,0s,0.56,0.0094,1s,1s
cgrates.org,RP1,,,,,,,RT_167,*string:~*req.PrefixDestination:167,,,,0s,0.08,0.3963,60s,60s
cgrates.org,RP1,,,,,,,RT_167,,,,,60s,0,0.1982,60s,1s
cgrates.org,RP1,,,,,,,RT_168,*string:~*req.PrefixDestination:168,,,,0s,0.65,0.8463,1s,1s
cgrates.org,RP1,,,,,,,RT_169,*string:~*req.PrefixDestination:169,,,,0s,0.21,0.2648,1s,1s
cgrates.org,RP1,,,,,,,RT_170,*string:~*req.PrefixDestination:170,,,,0s,0.86,0.5905,60s,60s
cgrates.org,RP1,,,,,,,RT_171,*string:~*req.PrefixDestination:171,,,,0s,0.42,0.9778,60s,60s
cgrates.org,RP1,,,,,,,RT_171,,,,,60s,0,0.4889,60s,1s
cgrates.org,RP1,,,,,,,RT_172,*string:~*req.PrefixDestination:172,,,,0s,0.97,0.4273,60s,60s
cgrates.org,RP1,,,,,,,RT_173,*string:~*req.PrefixDestination:173,,,,0s,0.53,0.8537,60s,60s
cgrates.org,RP1,,,,,,,RT_173,,,,,60s,0,0.4269,60s,1s
cgrates.org,RP1,,,,,,,RT_174,*string:~*req.PrefixDestination:174,,,,0s,0.06,0.1779,60s,60s
cgrates.org,RP1,,,,,,,RT_175,*string:~*req.PrefixDestination:175,,,,0s,0.61,0.5646,1s,1s
cgrates.org,RP1,,,,,,,RT_176,*string:~*req.PrefixDestination:176,,,,0s,0.17,0.0144,1s,1s
cgrates.org,RP1,,,,,,,RT_177,*string:~*req.PrefixDestination:177,,,,0s,0.70,0.4329,60s,60s
cgrates.org,RP1,,,,,,,RT_178,*string:~*req.PrefixDestination:178,,,,0s,0.25,0.7576,60s,60s
cgrates.org,RP1,,,,,,,RT_178,,,,,60s,0,0.3788,60s,1s
cgrates.org,RP1,,,,,,,RT_179,*string:~*req.PrefixDestination:179,,,,0s,0.81,0.1499,1s,1s
cgrates.org,RP1,,,,,,,RT_180,*string:~*req.PrefixDestination:180,,,,0s,0.37,0.5996,1s,1s
cgrates.org,RP1,,,,,,,RT_181,*string:~*req.PrefixDestination:181,,,,0s,0.89,0.9870,60s,60s
cgrates.org,RP1,,,,,,,RT_181,,,,,60s,0,0.4935,60s,1s
cgrates.org,RP1,,,,,,,RT_182,*string:~*req.PrefixDestination:182,,,,0s,0.45,0.3348,60s,60s
cgrates.org,RP1,,,,,,,RT_182,,,,,60s,0,0.1674,60s,1s
cgrates.org,RP1,,,,,,,RT_183,*string:~*req.PrefixDestination:183,,,,0s,0.02,0.7215,60s,60s
cgrates.org,RP1,,,,,,,RT_184,*string:~*req.PrefixDestination:184,,,,0s,0.66,0.1708,60s,60s
cgrates.org,RP1,,,,,,,RT_185,*string:~*req.PrefixDestination:185,,,,0s,0.23,0.5584,60s,60s
cgrates.org,RP1,,,,,,,RT_185,,,,,60s,0,0.2792,60s,1s
cgrates.org,RP1,,,,,,,RT_186,*string:~*req.PrefixDestination:186,,,,0s,0.78,0.9143,60s,60s
cgrates.org,RP1,,,,,,,RT_187,*string:~*req.PrefixDestination:187,,,,0s,0.33,0.3012,1s,1s
cgrates.org,RP1,,,,,,,RT_188,*string:~*req.PrefixDestination:188,,,,0s,0.86,0.7522,1s,1s
cgrates.org,RP1,,,,,,,RT_189,*string:~*req.PrefixDestination:189,,,,0s,0.42,0.1394,1s,1s
cgrates.org,RP1,,,,,,,RT_190,*string:~*req.PrefixDestination:190,,,,0s,0.97,0.4955,1s,1s
cgrates.org,RP1,,,,,,,RT_191,*string:~*req.PrefixDestination:191,,,,0s,0.51,0.8824,60s,60s
cgrates.org,RP1,,,,,,,RT_191,,,,,60s,0,0.4412,60s,1s
cgrates.org,RP1,,,,,,,RT_192,*string:~*req.PrefixDestination:192,,,,0s,0.06,0.3393,60s,60s
cgrates.org,RP1,,,,,,,RT_193,*string:~*req.PrefixDestination:193,,,,0s,0.62,0.6639,1s,1s
cgrates.org,RP1,,,,,,,RT_194,*string:~*req.PrefixDestination:194,,,,0s,0.18,0.0824,1s,1s
cgrates.org,RP1,,,,,,,RT_195,*string:~*req.PrefixDestination:195,,,,0s,0.70,0.5322,60s,60s
cgrates.org,RP1,,,,,,,RT_196,*string:~*req.PrefixDestination:196,,,,0s,0.26,0.9193,60s,60s
cgrates.org,RP1,,,,,,,RT_196,,,,,60s,0,0.4597,60s,1s
cgrates.org,RP1,,,,,,,RT_197,*string:~*req.PrefixDestination:197,,,,0s,0.82,0.2411,1s,1s
cgrates.org,RP1,,,,,,,RT_198,*string:~*req.PrefixDestination:198,,,,0s,0.47,0.6596,60s,60s
cgrates.org,RP1,,,,,,,RT_198,,,,,60s,0,0.3298,60s,1s
cgrates.org,RP1,,,,,,,RT_199,*string:~*req.PrefixDestination:199,,,,0s,0.03,0.1095,60s,60s