#Id,DestinationRatesId,TimingTag,Weight
RP_RETAIL1,DR_FS_40CNT,PEAK,10
RP_RETAIL1,DR_FS_10CNT,OFFPEAK_MORNING,10
RP_RETAIL1,DR_FS_10CNT,OFFPEAK_EVENING,10
RP_RETAIL1,DR_FS_10CNT,OFFPEAK_WEEKEND,10
RP_RETAIL1,DR_1007_MAXCOST_DISC,*any,10
RP_RETAIL2,DR_1002_20CNT,PEAK,10
RP_RETAIL2,DR_1003_20CNT,PEAK,10
RP_RETAIL2,DR_FS_40CNT,PEAK,10
RP_RETAIL2,DR_1002_10CNT,OFFPEAK_MORNING,10
RP_RETAIL2,DR_1002_10CNT,OFFPEAK_EVENING,10
RP_RETAIL2,DR_1002_10CNT,OFFPEAK_WEEKEND,10
RP_RETAIL2,DR_1003_10CNT,OFFPEAK_MORNING,10
RP_RETAIL2,DR_1003_10CNT,OFFPEAK_EVENING,10
RP_RETAIL2,DR_1003_10CNT,OFFPEAK_WEEKEND,10
RP_RETAIL2,DR_FS_10CNT,OFFPEAK_MORNING,10
RP_RETAIL2,DR_FS_10CNT,OFFPEAK_EVENING,10
RP_RETAIL2,DR_FS_10CNT,OFFPEAK_WEEKEND,10
RP_RETAIL2,DR_1007_MAXCOST_FREE,*any,10
RP_SPECIAL_1002,DR_SPECIAL_1002,*any,10
RP_GENERIC,DR_GENERIC,*any,10